customer_id;outlet_external_id;outlet_id
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10003263;outlet_01HH1YBGEMNJQFZ92TWVGHGH6F
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10003321;outlet_01HH1YBFHAFJ1KER105SYS0GY3
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10003343;outlet_01HF91JSJKVKAKYC30S178H15Z
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10003426;outlet_01HDFY7DHHXEY9JWJYYXB363FP
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10003575;outlet_01HDFXTQ4EHWD768JS4J13DY8M
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10003702;outlet_01HDFXTP91Y0TBG09BQFSEM9VV
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10003933;outlet_01HDFXTN45E4C0RH2H605CVG33
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004011;outlet_01HDFXTMV64ZN6AXBNR897N468
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004062;outlet_01HDFXTMBH26RTTRT2RQJD4G4W
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004111;outlet_01HDFXTKK87NHPXWG2PDFF6FBR
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004113;outlet_01HDFXDMB9KN6FCKXSTBM3Y4XZ
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004207;outlet_01HDFWZBRBHC53VEG75WBMQR4G
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004326;outlet_01HDFWZATS8B4YJ76VSJYY5P02
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004378;outlet_01HDFWZARQ4NB6593TSQQZFHYY
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004403;outlet_01HDFWZAMW1RRCB07QD0JGWYZQ
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004671;outlet_01HDFWZAKJCK0BATY7F0X4C6QA
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004686;outlet_01HDFWZAH5D7F67EZCZA1Q5DH9
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004737;outlet_01HDFWZACD6GPB3FWWZHWP9DSV
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004748;outlet_01HDFWZA1DR2R4BDGBFC80N5P4
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004790;outlet_01HDFWZA06FYBSPA2WY1421JX9
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004809;outlet_01HDFWZ9YVQ3WK55CG8VVWS633
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004815;outlet_01HDFWZ9B2R3Z55VK5SGVMY80H
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10004886;outlet_01HDFWZ642ZJV3GYC1GS2Y6XE7
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005152;outlet_01HDFWZ62Q2ZEE32SE3X2YC30F
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005214;outlet_01HDFWZ5YBWCCV2GT2VJ8HJ21F
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005416;outlet_01HDFWZ5T6V19VJR7G28YDEX7E
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005420;outlet_01HDFWZ5JHKYYZ2Z3347R1SB9A
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005559;outlet_01HDFWZ5EWP5VWGNC1ZQ9CGY8S
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005656;outlet_01HDFWZ5DH10DHNHM5QAWYKGPJ
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005660;outlet_01HDFWZ5CE30RXAEK7E46V8M6F
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005718;outlet_01HDFWZ5BBKSR0PFAFMZ1EHESB
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005786;outlet_01HDFWZ59EX87B1KCG8CSPE2QX
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10005899;outlet_01HDFWZ57N097SDBKDWTNX9GB2
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10006066;outlet_01HDFWZ56B4XVXN0SFZMBH1WFV
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10006550;outlet_01HDFWZ544FZ9AK95AVNTPFQ4Z
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10006621;outlet_01HDFWZ51ZBX84MDPDC4X0N0Z7
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10006706;outlet_01HDFWZ50FHA9HWKMCHHQSV0BY
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10006769;outlet_01HDFWZ4ZEGFMXPZRJDBV68M1J
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10006797;outlet_01HDFWZ4Y43P6B61PPR57SSQEB
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10007538;outlet_01HDFWZ4WGXZJD69RCJCD60W56
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10007917;outlet_01HDFWZ4TJABXN1HP87KJ82F4X
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10008166;outlet_01HDFWZ4RRPFRQDT38AMTEKRH2
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10008231;outlet_01HDFWZ4QB1491BTMJCA4QS80Y
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10008332;outlet_01HDFWZ4MNATWYM94HGBHKDHZA
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10104884;outlet_01HDFWZ4HGBKPA999CY46T2BXX
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10105295;outlet_01HDFWZ4G43ZQ1KFBGWC4ETAHH
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10105325;outlet_01HDFWZ4EQ9S890BR9CHCKXE8H
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10106155;outlet_01HDFWZ4DJZD13X907PYN1JR4R
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10107649;outlet_01HDFWZ4C67EFNH1TXHYP961HE
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10113600;outlet_01HDFWZ4AFHXGQVN7NZ4S7T0KW
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10113614;outlet_01HDFWZ49A7CY71YAGV8106A58
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10113654;outlet_01HDFWZ477C678CX00T0DKWABA
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10113738;outlet_01HDFWZ45V46WGVDF5XH8RGRY5
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10113753;outlet_01HDFWZ4392DBA29422K3WAEGG
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10113759;outlet_01HDFWZ3YYG8QWRC9DQBH878AJ
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10117096;outlet_01HDFWZ3WHZ8N205Y3D97TPB2K
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10117756;outlet_01HDFWZ3TW4NF92YDWGASCE76W
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10117760;outlet_01HDFWZ3SP75XC0V5RRFYAB0TT
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10117762;outlet_01HDFWZ3QJPC5YGTNH1X2W9EPE
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10117962;outlet_01HDFWZ3GSHKZPR7FH1CQAG5XM
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10118058;outlet_01HDFWZ3C8QD1HC9ZFTV4Z1Q53
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10118628;outlet_01HDFWZ3A0BS5NAYJHAP9FWW39
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10119108;outlet_01HDFWZ38SGRTZRYB1N7Y47PA1
cus_01HDFXDP6Y55G3SCNRBCPDCBVS;10120909;outlet_01HAKTWXP2KZ688P9ZVGEZPJW8