variant_id;SKU
variant_01HKPZ9PVK8WZQZNYJ76MBNNJ9;L65403
variant_01HKPZ9K6DZYR2DR8C1BG3EV0E;L65402
variant_01HKPZ9GW1APHXWP3N8FV09W2K;L46903
variant_01HKPZ9CE7FR74MTS9SNC7DK41;L54027
variant_01HKPZ99V7J8BD7CMPRR29NQAA;L54026
variant_01HKPZ97NXAKZD65E16A6R9AGN;L53031
variant_01HKPZ95RG6D1PXQWDGN8DCV76;L53063
variant_01HKPZ93M4NPM0SRMNFM472QV5;L53079
variant_01HKPZ8Y14CESMKBSQSEB6S63B;L54071
variant_01HKPZ8W0KT2HP6DT5KPCDSGHA;L54070
variant_01HKPZ8SYHK25XAASAGF0WG9XQ;L60075
variant_01HKPZ8QPA7DAQHW1Y6BN3CGGX;L53671
variant_01HKPZ8NF6VNZXPEHK4QM7RZV2;L53675
variant_01HKPZ8JV0DZFGTW4JHKEV78EX;L3609
variant_01HKPZ8F857X9M9MREDVW689KE;L53076
variant_01HKPZ8CFNGJA13HJ0Z9QT958G;L10436
variant_01HKPZ89RTSVF5RZY5BFCEG246;L50072
variant_01HKPZ87W01PASXZ7J1XXMJTBC;L10166
variant_01HKPZ85P17JGJGGGS7KX61MHN;L10165
variant_01HKPZ836S0KT4MS4QE39479T8;L61075
variant_01HKPZ812Z2HV09GK2KY2W9M52;L50075
variant_01HKPZ7YGCJ4C51DYM82KM3E8H;L45447
variant_01HKPZ7WADDZJ8CY976Y1A797J;L54069
variant_01HKPZ7MC2K4JP8WWVF7D0D6K9;L53993
variant_01HKPZ7H5BSTZPEJ7Q85SBYXD2;L60970
variant_01HKPZ7EZT30VF35J09NK2892B;L63528
variant_01HKPZ7C9N47TFNEZ1N7K4S5BV;L62818
variant_01HKPZ7A8CM24ADDD4B7YYCW0P;L60983
variant_01HKPZ7848Q2GQRJ7P1YTQCC30;L64930
variant_01HKPZ7667PBTTYNZK2P0FPQ29;L10163
variant_01HKPZ73ZCF5HSB80MRYMP60QG;L10164
variant_01HKPZ4PA83ZC2FED8KYS51DDK;L65039
variant_01HKPZ3XR7R8HKW0326JPX3PEG;L64709
variant_01H7HFQNS7GVVB823T804Z36XQ;65403
variant_01H7HFNRBEYSNHPPTQRAJBSJ02;65402
variant_01H771CD94KTZNMARVJ754PK03;50074
variant_01H771C9CEFETPQKHJJQAX4VEV;46903
variant_01H771BQ637ZAP6DFC4RD0VANR;54027
variant_01H771ACAWPG591JEVDTYNB6KS;53031
variant_01H771A7RTSXKDYF8Q54R8AF5C;53063
variant_01H771A3M76EZN2VAPWK9KKQBC;53079
variant_01H7719SGK6012WNG1EFAHVTJD;54071
variant_01H7719JP61PCCA16ETQSGVH9V;60075
variant_01H7719AJBGKM6H0H488XM9KN8;1885
variant_01H77192YY9TWRM0GB6F479YQX;1884
variant_01H7718VKGSXVQEWVZ5AGJBNPT;53671
variant_01H7718R85DVRBPVGC43BDB4TG;53675
variant_01H7718GX2K0RWEG1VY5MQ4XSG;3609
variant_01H77175T0W8VX6BTHBV6JB3SQ;10436
variant_01H7716P99W4B6MW94KCPN6XFQ;50072
variant_01H7716HV7PT9KXSEK2YWA5P0Q;10166
variant_01H77162NRR4FXV8QPWKMFSPJD;61075
variant_01H7715RHA13FFQ6N22HPD2S1F;45447
variant_01H7715HCNCN0GW6DC7FP5AEDN;54069
variant_01H7714NY0HSVJVWHTXE9RMF5W;60970
variant_01H7714ASXN13AW34F20Y04YHJ;60983
variant_01H7714739T7T0KQ8AWY0B9YXT;64930
variant_01H7712P57YG5CWYJV45AEK4AD;65039
variant_01H7712JFZ81KZRW00AC2YQFM4;64709
variant_01H6DTXW2D4HKVHG2CCF98966D;10167
variant_01H6DTJPTN4HQYKAGN9KRVZ4YY;1867
variant_01H6DTDX917GPAQZVB9MXBG0WQ;63528
variant_01H5XWXT9KJ7DN1MFSVX778KDA;54026
variant_01H5XTJ97RNCWNM9HAR02D257T;53076
variant_01H5SYXQ8EFVBEMXGH2TBBVA7A;54070
variant_01H5PS9EVF5915DRCDD8NDKJAT;53993
variant_01H5PPNH4P1DSY1TA5F2Z8AE3R;10165
variant_01H5PMH3V5H3BQDM49D8K88MMJ;10164
variant_01H5PMESX1AR52H7BJ4CTHHE80;10163